"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"88";"FTN2018-0462";2018;"Call for Service";"refuse verbal commands";"Yes";"6th District";"Takedown (no injury)";"L1";12;"aa1a7c736c8edef10b56dcbe769ceefd";"M";"Black / African American";"36";"11";"No";"Black / African American";"F";"NULL";"No";"UOF Justified"
"89";"FTN2018-0462";2018;"Call for Service";"refuse verbal commands";"Yes";"6th District";"Takedown (no injury)";"L1";12;"572b5a5336fc9f983989e375a6a6483b";"M";"Hispanic";"31";"2";"No";"Black / African American";"F";"NULL";"No";"UOF Justified"
"90";"FTN2018-0462";2018;"Call for Service";"refuse verbal commands";"Yes";"6th District";"Takedown (no injury)";"L1";12;"d5d13bd88d6a731a2fe3c04a6d1712aa";"F";"White";"31";"1";"No";"Black / African American";"F";"NULL";"No";"UOF Justified"
"91";"FTN2018-0462";2018;"Call for Service";"refuse verbal commands";"Yes";"6th District";"Takedown (no injury)";"L1";12;"166587ce8cacaacb1b8ed811a17b68e2";"F";"White";"23";"1";"No";"Black / African American";"F";"NULL";"No";"UOF Justified"
"92";"FTN2018-0461";2018;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";12;"d35bc5a4411b1fe2a2b098a347cb4a09";"M";"Unknown race";"30";"1";"No";"Black / African American";"M";"18";"No";"UOF Justified"
"93";"FTN2018-0460";2018;"Arresting";"Tactical Deployments";"Yes";"Special Operations";"Firearm Exhibited";"L1";12;"461a4d5182b74c7737c8987b3f490633";"M";"Black / African American";"30";"5";"No";"Black / African American";"M";"20";"No";"NULL"
"94";"FTN2018-0459";2018;"Call for Service";"Weapon Exhibited";"No";"7th District";"Firearm Exhibited";"L1";12;"c367c381d58fb8fb7642e06485dfa24b";"M";"White";"30";"1";"No";"Black / African American";"M";"19";"No";"UOF Justified"
"95";"FTN2018-0458";2018;"Call for Service";"Tactical Deployments";"Yes";"4th District";"Firearm Exhibited";"L1";12;"f4bdfb1e3fd48d803fbc645f4daf7c8f";"F";"Black / African American";"42";"14";"No";"Black / African American";"M";"47";"No";"NULL"
"96";"FTN2018-0458";2018;"Call for Service";"Tactical Deployments";"Yes";"4th District";"Firearm Exhibited";"L1";12;"37ee402ef8cadfc72324533cc66ae906";"F";"Black / African American";"34";"16";"No";"Black / African American";"M";"47";"No";"NULL"
"97";"FTN2018-0457";2018;"Call for Service";"Flight from an Officer";"Yes";"3rd District";"Takedown (no injury)";"L1";12;"cc6bdb9af43b8b0d485a5759282371f7";"M";"White";"40";"9";"No";"Black / African American";"M";"18";"No";"UOF Justified"
