"Action.taken.OIPM";"Action.taken.year";"Allegation.short";"Allegation.simple";"Allegation.primary.key"
"182";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"183";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"184";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"185";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"186";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"187";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"188";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"189";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"190";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"191";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"192";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"193";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"194";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"195";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"196";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"197";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"198";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"199";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"200";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"201";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"202";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"203";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"204";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"205";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"206";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"207";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"208";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"209";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"210";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"211";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"212";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"213";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"214";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"215";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"216";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"217";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"218";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"219";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"220";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"221";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"222";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"223";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"224";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"225";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"226";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"227";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"228";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"229";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"230";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"231";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"232";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"233";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"234";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"235";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"236";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"237";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"238";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"239";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"240";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
